 ,Area,Mean,Min,Max,X,Y,Slice
105,0,3573,3573,3573,365.000,337.500,367
106,0,4469,4469,4469,365.000,337.000,372
107,0,4483,4483,4483,365.000,337.000,377
108,0,4688,4688,4688,364.500,337.000,381
109,0,1944,1944,1944,365.000,338.000,389
110,0,9571,9571,9571,393.500,299.000,387
111,0,2774,2774,2774,434.500,256.500,403
112,0,12203,12203,12203,386.500,256.000,381
113,0,11654,11654,11654,387.000,255.500,420
114,0,3579,3579,3579,392.500,270.000,424
115,0,4718,4718,4718,372.000,263.000,440
116,0,6747,6747,6747,264.000,273.000,443
117,0,14007,14007,14007,241.000,263.000,457
118,0,4954,4954,4954,329.500,158.000,457
119,0,12574,12574,12574,242.500,263.500,473
120,0,10358,10358,10358,241.000,263.000,516
121,0,6381,6381,6381,331.000,233.500,507
122,0,7523,7523,7523,392.000,269.500,514
123,0,11218,11218,11218,479.500,407.500,512
124,0,3917,3917,3917,379.000,281.500,523
125,0,3939,3939,3939,328.500,234.500,532
126,0,2614,2614,2614,365.500,338.000,544
127,0,4748,4748,4748,364.500,337.500,565
128,0,6336,6336,6336,329.000,234.500,572
129,0,6486,6486,6486,288.000,118.000,579
130,0,3365,3365,3365,328.500,164.000,582
131,0,4906,4906,4906,288.500,118.500,587
132,0,14852,14852,14852,242.000,263.500,585
133,0,3544,3544,3544,365.000,336.000,585
134,0,4862,4862,4862,392.000,268.500,572
135,0,3664,3664,3664,263.500,201.000,575
136,0,1300,1300,1300,181.500,284.000,578
137,0,3108,3108,3108,288.000,117.667,8
138,0,4304,4304,4304,290.333,148.000,223
139,0,1616,1616,1616,341.667,181.667,230
140,0,2809,2809,2809,434.500,255.500,368
141,0,2999,2999,2999,282.000,57.000,433
142,0,2201,2201,2201,476.000,442.667,325
143,0,1938,1938,1938,46.667,436.333,27
144,0,1602,1602,1602,191.000,413.667,31
145,0,2103,2103,2103,192.500,464.500,3
146,0,5207,5207,5207,308.500,305.500,34
147,0,4175,4175,4175,308.500,305.000,48
148,0,7368,7368,7368,363.000,321.500,47
149,0,1285,1285,1285,181.000,283.500,61
150,0,6867,6867,6867,242.000,263.500,66
151,0,4812,4812,4812,289.000,267.000,67
152,0,4205,4205,4205,252.500,245.000,83
153,0,3392,3392,3392,339.500,497.000,94
154,0,1469,1469,1469,366.000,338.000,101
155,0,2908,2908,2908,366.000,335.000,105
156,0,2098,2098,2098,179.000,495.000,126
157,0,2336,2336,2336,181.000,415.500,133
158,0,2840,2840,2840,339.500,496.500,186
159,0,4844,4844,4844,339.000,496.000,228
160,0,2063,2063,2063,189.500,414.500,274
161,0,2161,2161,2161,161.500,449.500,281
162,0,2370,2370,2370,267.500,497.000,283
163,0,5109,5109,5109,203.000,476.500,309
164,0,5254,5254,5254,203.500,476.000,313
165,0,1590,1590,1590,179.500,495.000,368
166,0,7152,7152,7152,360.500,502.500,395
167,0,5829,5829,5829,325.000,308.500,467
168,0,1500,1500,1500,27.000,428.500,518
169,0,3166,3166,3166,361.333,501.000,591
170,0,2303,2303,2303,412.667,347.667,570
171,0,1019,1019,1019,394.667,412.000,568
172,0,2586,2586,2586,364.667,336.667,511
173,0,3573,3573,3573,392.333,269.333,478
174,0,5362,5362,5362,364.000,500.333,466
175,0,3349,3349,3349,365.000,337.333,436
176,0,2437,2437,2437,360.667,503.333,347
177,0,3773,3773,3773,354.000,495.333,270
178,0,4361,4361,4361,354.333,495.333,267
179,0,2824,2824,2824,411.667,367.000,136
180,0,2294,2294,2294,468.333,422.667,127
181,0,3553,3553,3553,443.667,358.000,112
182,0,2674,2674,2674,429.667,392.000,89
183,0,7718,7718,7718,391.667,269.000,68
184,0,2570,2570,2570,339.667,497.333,4
185,0,3365,3365,3365,452.000,409.667,156
186,0,3163,3163,3163,360.667,500.667,378
187,0,1987,1987,1987,194.667,464.667,119
188,0,953,953,953,180.667,284.000,224
189,0,1336,1336,1336,180.000,38.667,312
190,0,10380,10380,10380,404.667,261.333,364
191,0,1499,1499,1499,207.333,224.667,1
192,0,1028,1028,1028,392.667,408.667,50
193,0,8381,8381,8381,392.667,270.000,52
194,0,2046,2046,2046,436.000,256.667,201
195,0,1581,1581,1581,343.333,176.667,402
196,0,1467,1467,1467,16.000,442.667,457
197,0,2240,2240,2240,272.667,50.667,591
198,0,1209,1209,1209,179.333,496.667,591
